#{"t_start": 1711607050.050625, "env_id": "None"}
r,l,t
274.44099,664,352.474061
320.011327,710,352.838031
302.211761,681,353.1514
332.851716,748,353.4847
313.988977,691,353.789287
305.423706,794,354.151327
366.829263,863,354.538191
328.252813,720,354.861468
320.786789,768,355.251303
300.591827,755,357.338017
367.062742,746,357.701618
249.384749,649,358.011465
360.477151,624,358.309973
365.367567,685,358.618015
309.773722,843,359.094233
330.892077,825,359.488595
264.874007,713,359.817923
354.033133,732,360.144034
294.264349,647,360.43561
396.970227,769,360.787714
333.679845,799,361.167918
293.646164,725,363.238684
301.359801,766,363.601205
301.719055,705,363.934763
284.901219,690,364.261766
365.721723,655,364.567269
289.840592,687,364.884588
358.744921,910,365.318079
301.688289,704,365.668747
307.944877,700,365.984467
318.449921,756,366.327395
314.598104,755,366.681714
326.12543,903,368.96808
353.446209,831,369.342084
371.692513,848,369.717718
240.509002,684,370.051032
316.976394,690,370.351606
315.473209,610,370.650974
268.45174,593,370.934684
314.698028,687,371.243335
320.070084,837,371.637833
281.137256,730,371.972631
406.315166,886,372.377769
360.970424,676,374.444754
300.436554,663,374.738663
331.598077,719,375.077833
393.027258,821,375.501008
322.556471,755,375.837891
344.35478,903,376.293418
335.683207,696,376.634296
342.115228,721,376.950948
341.498241,731,377.297486
332.640508,671,377.594297
281.240423,639,377.876591
235.738432,590,380.017502
356.552764,763,380.351154
380.19306,693,380.667491
271.926369,764,381.020004
342.98397,638,381.300872
255.684037,602,381.584177
354.83248,823,381.994254
270.971069,689,382.300824
322.634865,763,382.650867
288.116555,562,382.946734
281.170624,854,383.367544
416.876033,687,383.717436
369.993043,897,385.901063
308.559493,762,386.250784
379.951893,735,386.587614
368.905277,816,387.000847
351.012977,659,387.300952
276.908315,707,387.637068
255.15797,624,387.917731
314.700545,647,388.217454
334.003747,905,388.643985
333.617798,770,388.987741
399.108595,850,391.134048
347.948185,692,391.451129
293.171234,804,391.843992
259.461985,602,392.119615
276.912332,741,392.45175
344.057169,795,392.809109
298.43014,588,393.077359
363.626188,869,393.55064
267.660351,640,393.837476
266.254087,607,394.137514
380.502044,849,394.526268
349.755336,866,396.643842
336.608846,648,396.957874
305.184685,627,397.23742
327.575592,824,397.650661
273.453232,824,398.01712
348.849436,628,398.302426
343.323909,850,398.683816
225.111266,673,398.987688
359.035865,696,399.326161
358.301042,786,399.684179
377.242531,887,400.117168
355.726177,667,400.417259
288.066558,748,402.567414
347.200989,832,402.954411
312.862713,801,403.317015
388.139369,764,403.683755
380.72743,965,404.17707
335.459186,763,404.533716
239.521625,709,404.858625
317.879895,777,405.203907
264.708994,795,405.583705
312.175059,870,405.976981
373.964538,715,408.076951
293.710434,731,408.400424
378.96683,962,408.850312
370.591956,832,409.226917
363.242582,772,409.566886
279.367479,720,409.887835
410.988782,881,410.308195
300.632026,760,410.65523
251.503918,729,410.983648
294.531471,748,411.327082
273.53321,800,413.507493
297.503286,645,413.807531
244.19211,588,414.076896
356.370893,691,414.405622
307.282244,813,414.776494
272.835465,670,415.075844
377.98263,829,415.467995
266.561161,838,415.853651
314.742314,701,416.192485
378.178425,820,416.576579
258.493603,652,416.887064
368.848786,792,419.066758
314.062724,722,419.400489
385.871996,761,419.750122
335.67083,695,420.11068
224.457161,502,420.333447
317.253651,743,420.666718
305.538973,691,420.99388
277.812935,702,421.31022
314.725442,708,421.633375
298.682353,703,421.966686
335.170751,856,422.350187
309.780965,737,422.69334
389.689202,767,424.818657
330.159042,997,425.2782
309.542127,792,425.633214
211.501907,557,425.906024
305.99554,763,426.259887
336.944066,654,426.567192
322.187379,806,426.943532
322.795667,681,427.267575
342.84965,776,427.634449
422.562671,784,428.003399
380.824033,912,428.42563
331.681834,741,430.553713
353.693124,767,430.899828
307.83492,810,431.276091
283.991163,657,431.59985
333.370813,829,431.966738
315.432242,719,432.367316
466.643936,810,432.733169
356.575471,749,433.099843
356.244292,615,433.393115
349.215219,729,433.737479
